ProjectCode,ReportMonth,State,OriginalCost,RevisedCost,Expenditure,Physical Progress,Agency,DateInconsistency,ProjectAgeDays,ApprovalToStartDays,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,HasRevisedCost,HasRevisedDoc,ProgressVelocity,ProgressScheduleGap,ExpenditureProgressGap,CostGrowth,ScheduleElapsedRatio,RemainingPlannedDays,ElapsedDays,PlannedDurationDays,ProgressBehindSchedule10,ProgressBehindSchedule20,ProgressBehindSchedule30,NegativeProgressVelocity,NoProgress,LateStageLowProgress,ExpenditureAhead10,ExpenditureAhead20,ExpenditureAhead30,OverallRiskEvent
400160,2026-04-01,Jharkhand,510.85,510.85,488.71,78.25,Ministry of Coal,False,5965.0,0.0,95.66604678477047,95.66604678477047,-17.416046784770472,0,1,,,17.416046784770472,,,-5965.0,5965.0,0.0,0,0,0,0,0,0,1,0,0,1
400162,2026-04-01,Madhya Pradesh,998.71,998.71,518.17,50.0,Northern Coalfields Limited [NCL],False,2466.0,0.0,51.88393027004836,51.88393027004836,-1.88393027004836,0,1,,,1.88393027004836,,,-2466.0,2466.0,0.0,0,0,0,0,0,0,0,0,0,0
400165,2026-04-01,Odisha,1693.81,1693.81,1329.14,45.57,Mahanadi Coalfields Limited [MCL],False,1796.0,0.0,78.47043056777325,78.47043056777325,-32.90043056777325,0,0,,,32.90043056777325,,,-1796.0,1796.0,0.0,0,0,0,0,0,0,1,1,1,0
400166,2026-04-01,Odisha,5194.95,5194.95,3490.38,59.5,Mahanadi Coalfields Limited [MCL],False,1885.0,0.0,67.18794213611297,67.18794213611297,-7.687942136112966,0,0,,,7.687942136112966,,,-1885.0,1885.0,0.0,0,0,0,0,0,0,0,0,0,0
400167,2026-04-01,Gujarat,1162.56,1162.56,1152.51,95.9,Oil and Natural Gas Corporation Limited [ONGC],False,3346.0,0.0,99.13552848885219,99.13552848885219,-3.2355284888521822,0,1,,,3.2355284888521822,,,-3346.0,3346.0,0.0,0,0,0,0,0,0,0,0,0,0
400168,2026-04-01,Maharashtra,8797.0,11256.0,8003.66,90.7,Ministry of Petroleum & Natural Gas,False,1826.0,0.0,71.10572139303483,71.10572139303483,19.594278606965176,1,1,,,-19.594278606965176,,,-1826.0,1826.0,0.0,0,0,0,0,0,0,0,0,0,1
400169,2026-04-01,Gujarat,631.03,845.42,612.97,90.0,Oil and Natural Gas Corporation Limited [ONGC],False,1826.0,0.0,72.50479051832227,72.50479051832227,17.495209481677733,1,1,,,-17.495209481677733,,,-1826.0,1826.0,0.0,0,0,0,0,0,0,0,0,0,0
400171,2026-04-01,Punjab,1421.46,1421.46,1263.61,95.8,Hindustan Petroleum Corporation Limited [HPCL],False,2161.0,0.0,88.89522040718697,88.89522040718697,6.904779592813028,0,1,,,-6.904779592813028,,,-2161.0,2161.0,0.0,0,0,0,0,0,0,0,0,0,0
400172,2026-04-01,Jharkhand,513.99,513.99,239.88,53.03,Eastern Coal Fields Limited [ECL],False,2800.0,0.0,46.67016868032452,46.67016868032452,6.359831319675479,0,1,,,-6.359831319675479,,,-2800.0,2800.0,0.0,0,0,0,0,0,0,0,0,0,0
400173,2026-04-01,West Bengal,888.99,888.99,142.55,31.52,Eastern Coal Fields Limited [ECL],False,1977.0,0.0,16.035051012947278,16.035051012947278,15.484948987052721,0,1,,,-15.48494898705272,,,-1977.0,1977.0,0.0,0,0,0,0,0,0,0,0,0,0
400174,2026-04-01,Jharkhand,1034.01,1752.3,980.24,59.78,Steel Authority of India Limited [SAIL],False,3835.0,214.0,55.94019288934543,55.94019288934543,3.8398071106545686,1,1,,-140.22,-3.8398071106545686,,2.0,-3621.0,3835.0,214.0,1,1,1,0,0,0,0,0,0,0
400177,2026-04-01,Maharashtra,727.28,727.28,563.25,80.77,Western Coalfields Limited [WCL],False,3896.0,0.0,77.44610053899461,77.44610053899461,3.3238994610053822,0,1,,,-3.3238994610053822,,,-3896.0,3896.0,0.0,0,0,0,0,0,0,0,0,0,0
400178,2026-04-01,Maharashtra,822.88,822.88,652.67,40.54,Western Coalfields Limited [WCL],False,2251.0,0.0,79.31533151856893,79.31533151856893,-38.775331518568926,0,0,,,38.775331518568926,,,-2251.0,2251.0,0.0,0,0,0,0,0,0,1,1,1,0
400180,2026-04-01,West Bengal,570.11,570.11,88.78,17.1,Eastern Coal Fields Limited [ECL],False,1704.0,0.0,15.572433390047536,15.572433390047536,1.5275666099524656,0,1,,,-1.5275666099524656,,,-1704.0,1704.0,0.0,0,0,0,0,0,0,0,0,0,0
400181,2026-04-01,West Bengal,502.68,502.67,83.8,27.52,Eastern Coal Fields Limited [ECL],False,2800.0,0.0,16.670976982911252,16.670976982911252,10.849023017088747,1,0,,,-10.849023017088747,,,-2800.0,2800.0,0.0,0,0,0,0,0,0,0,0,0,0
400183,2026-04-01,Odisha,3504.21,3504.21,958.0,57.15,Mahanadi Coalfields Limited [MCL],False,2069.0,0.0,27.338544208252358,27.338544208252358,29.81145579174764,0,0,,,-29.81145579174764,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,0,0,0,0
400185,2026-04-01,Odisha,8416.19,6107.87,1771.98,34.54,MCL - CIL,False,1461.0,0.0,29.01142296741745,29.01142296741745,5.52857703258255,1,0,,,-5.52857703258255,,,-1461.0,1461.0,0.0,0,0,0,0,0,0,0,0,0,0
400186,2026-04-01,West Bengal,749.08,749.07,53.88,11.9,Eastern Coal Fields Limited [ECL],False,1186.0,0.0,7.192919219832593,7.192919219832593,4.7070807801674075,1,0,,,-4.707080780167408,,,-1186.0,1186.0,0.0,0,0,0,0,0,0,0,0,0,0
400187,2026-04-01,Odisha,2434.75,2434.75,2002.75,79.05,Mahanadi Coalfields Limited [MCL],False,2892.0,0.0,82.25690522640929,82.25690522640929,-3.2069052264092903,0,0,,,3.2069052264092903,,,-2892.0,2892.0,0.0,0,0,0,0,0,0,0,0,0,0
400188,2026-04-01,Delhi,32850.0,32841.0,13885.72,46.8,National Buildings Construction Corporation [NBCC],False,2892.0,669.0,42.28166011997199,42.28166011997199,4.518339880028009,1,1,,-153.2,-4.518339880028009,,2.0,-2223.0,2892.0,669.0,1,1,1,0,0,1,0,0,0,1
400204,2026-04-01,Uttar Pradesh,4939.78,4939.78,1055.82,8.9,North Eastern Railway [NER],False,3318.0,-579.0,21.373826364736892,21.373826364736892,-12.473826364736892,0,1,,,12.473826364736892,,,-3897.0,3318.0,-579.0,0,0,0,0,0,0,1,0,0,0
400205,2026-04-01,Uttar Pradesh,1319.75,1319.75,492.3,4.0,North Eastern Railway [NER],False,3318.0,-883.0,37.302519416556166,37.302519416556166,-33.302519416556166,0,1,,,33.302519416556166,,,-4201.0,3318.0,-883.0,0,0,0,0,0,0,1,1,1,1
400220,2026-04-01,Chhattisgarh,3055.0,3798.06,2695.19,95.1,Indian Railway Construction International Limited [IRCON],False,4473.0,-790.0,70.96228074332686,70.96228074332686,24.137719256673137,1,1,,,-24.137719256673137,,,-5263.0,4473.0,-790.0,0,0,0,0,0,0,0,0,0,0
400223,2026-04-01,"Multi-States(Puducherry, TamilNadu)",713.0,981.0,635.3,80.0,Ministry of Railways,False,2647.0,3836.0,64.7604485219164,64.7604485219164,15.239551478083598,1,1,,10.995828988529723,-15.239551478083598,,0.6900417101147028,1189.0,2647.0,3836.0,0,0,0,0,0,0,0,0,0,0
400231,2026-04-01,Odisha,27212.96,27213.0,3454.06,2.1,NLC India Limited [NLCIL],False,821.0,2556.0,12.692683643846692,12.692683643846692,-10.592683643846692,1,0,,-30.02050078247261,10.592683643846692,,0.3212050078247261,1735.0,821.0,2556.0,1,1,1,0,0,0,1,0,0,0
400232,2026-04-01,Odisha,297.0,297.0,232.73,56.0,East Coast Railway [ECoR] - II,False,4473.0,0.0,78.36026936026936,78.36026936026936,-22.360269360269356,0,1,,,22.36026936026936,,,-4473.0,4473.0,0.0,0,0,0,0,0,0,1,1,0,1
400247,2026-04-01,West Bengal,1000.0,1000.0,1065.08,74.5,Eastern Railway [ER] - I,False,7456.0,-3529.0,106.50800000000001,100.0,-25.5,0,1,,,32.00800000000001,,,-10985.0,7456.0,-3529.0,0,0,0,0,0,0,1,1,1,0
400253,2026-04-01,"Multi-States(Andhra Pradesh,Odisha)",4803.0,6669.91,6211.43,97.0,RVNL - II,False,3438.0,153.0,93.12614413088033,93.12614413088033,3.873855869119666,1,1,,-103.0,-3.873855869119666,,2.0,-3285.0,3438.0,153.0,1,1,1,0,0,0,0,0,0,0
