ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__RemainingPlannedDays,0.233633,Increases Risk,4
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,categorical__Agency_Ministry of Coal,0.213596,Increases Risk,5
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__ElapsedDays,-0.182092,Decreases Risk,6
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__ScheduleElapsedRatio,-0.170708,Decreases Risk,7
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__Expenditure,0.139413,Increases Risk,8
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__RobustCurrentGap,0.138004,Increases Risk,9
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__PlannedDurationDays,-0.129073,Decreases Risk,10
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,categorical__State_Jharkhand,0.626459,Increases Risk,1
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__Prev_ExpenditureRatio,-0.393724,Decreases Risk,2
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__PlannedDurationDays,-0.37344,Decreases Risk,3
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,categorical__Agency_National Highways Authority of India [NHAI],-0.328661,Decreases Risk,4
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__CurrentExpenditureRatio,-0.288696,Decreases Risk,5
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,categorical__Agency_Ministry of Coal,0.213144,Increases Risk,6
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__RemainingPlannedDays,0.204205,Increases Risk,7
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__Prev_RobustGap,-0.201732,Decreases Risk,8
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__Expenditure,0.129618,Increases Risk,9
400160,RAJRAPPA RCE OCP,2026-05-01,1,0.2017,numeric__CurrentGapVsPreviousGap,0.113196,Increases Risk,10
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__RobustCurrentGap,0.26506,Increases Risk,1
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,categorical__Agency_National Highways Authority of India [NHAI],-0.2541,Decreases Risk,2
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__ScheduleElapsedRatio,-0.210789,Decreases Risk,3
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__Expenditure,0.179965,Increases Risk,4
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,categorical__State_Madhya Pradesh,-0.178529,Decreases Risk,5
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__missingindicator_Prev_Expenditure,-0.160163,Decreases Risk,6
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__CurrentExpenditureRatio,0.144281,Increases Risk,7
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__ProgressScheduleGap,-0.135685,Decreases Risk,8
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__Prev_RobustGap,-0.125781,Decreases Risk,9
400162,BLOCK B EXPANSION  [3.5 TO 8.0,2026-04-01,0,0.1549,numeric__RemainingPlannedDays,0.118335,Increases Risk,10
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,categorical__Agency_National Highways Authority of India [NHAI],-0.456825,Decreases Risk,1
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__ScheduleElapsedRatio,-0.15594,Decreases Risk,2
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__RobustCurrentGap,0.150386,Increases Risk,3
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__missingindicator_Prev_Expenditure,0.150219,Increases Risk,4
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__ProgressScheduleGap,-0.118619,Decreases Risk,5
400162,BLOCK B EXPANSION [3.5 TO 8.0,2026-05-01,1,0.186,numeric__Expenditure,0.118498,Increases Risk,6
