ProjectCode,ProjectName,ReportMonth,OverallRiskProbability,OverallRiskPrediction,TopFactor1,TopFactor1_SHAP,TopFactor2,TopFactor2_SHAP,TopFactor3,TopFactor3_SHAP,TopFactor4,TopFactor4_SHAP,TopFactor5,TopFactor5_SHAP,RiskExplanation
618209,,2026-05-01,0.277176,0,Physical Progress,-0.505404,NoProgress,0.497894,CurrentExpenditureRatio,-0.480524,Agency_National Highways Authority of India [NHAI],-0.344943,Expenditure,-0.252449,NoProgress; ProgressVelocity; ExpenditureProgressGap
618141,,2026-05-01,0.806651,1,Agency_National Highways Authority of India [NHAI],-0.3591,ExpenditureProgressGap,0.298942,ProgressVelocity,0.238761,Physical Progress,0.238421,ProgressScheduleGap,0.229758,ExpenditureProgressGap; ProgressVelocity; Physical Progress
618485,,2026-04-01,0.481259,1,Agency_National Highways Authority of India [NHAI],0.588031,ProgressVelocity,-0.399849,State_Haryana,-0.350257,RemainingPlannedDays,-0.13351,ExpenditureProgressGap,0.115556,Agency_National Highways Authority of India [NHAI]; ExpenditureProgressGap; CurrentExpenditureRatio
705774,,2026-05-01,0.510292,1,Agency_National Highways Authority of India [NHAI],-0.563668,CurrentExpenditureRatio,0.280714,ProgressVelocity,0.247335,ExpenditureProgressGap,-0.246154,NoProgress,0.218043,CurrentExpenditureRatio; ProgressVelocity; NoProgress
615189,,2026-05-01,0.725334,1,RevisedCost,0.427748,HasRevisedDoc,-0.399931,CurrentExpenditureRatio,0.382272,NoProgress,0.369609,Agency_National Highways Authority of India [NHAI],-0.340645,RevisedCost; CurrentExpenditureRatio; NoProgress
618215,,2026-05-01,0.353024,0,Physical Progress,-0.659545,CurrentExpenditureRatio,-0.483394,NoProgress,0.475548,Agency_National Highways Authority of India [NHAI],-0.365343,ProgressVelocity,0.280629,NoProgress; ProgressVelocity; ProjectAgeDays
618094,,2026-05-01,0.608644,1,Agency_National Highways Authority of India [NHAI],-0.476075,RevisedCost,0.344692,ExpenditureProgressGap,-0.248701,Expenditure,0.234134,ProgressVelocity,0.169388,RevisedCost; Expenditure; ProgressVelocity
709779,,2026-05-01,0.298471,0,Agency_MinistryofPetroleumNaturalGas,-0.478363,Agency_National Highways Authority of India [NHAI],-0.405429,RobustCurrentGap,0.286103,Physical Progress,-0.155894,ExpenditureProgressGap,0.108214,RobustCurrentGap; ExpenditureProgressGap; ProjectAgeDays
617832,,2026-05-01,0.03099,0,Physical Progress,-0.725892,CurrentExpenditureRatio,-0.673247,Agency_National Highways Authority of India [NHAI],-0.424633,ProjectAgeDays,-0.409977,NoProgress,0.303041,NoProgress; State_Jharkhand; ProgressVelocity
618150,,2026-04-01,0.026134,0,CurrentExpenditureRatio,-0.987157,Physical Progress,-0.426254,ProjectAgeDays,-0.387055,Agency_National Highways Authority of India [NHAI],-0.381929,Expenditure,-0.368769,ScheduleElapsedRatio; State_Maharashtra; RemainingPlannedDays
707044,,2026-05-01,0.36995,0,HasRevisedDoc,-0.46411,NoProgress,0.28674,Agency_National Highways Authority of India [NHAI],-0.279362,CurrentExpenditureRatio,0.207374,RevisedCost,0.206795,NoProgress; CurrentExpenditureRatio; RevisedCost
612167,,2026-04-01,0.575775,1,Agency_National Highways Authority of India [NHAI],-0.316176,CurrentExpenditureRatio,0.250537,ProgressVelocity,-0.230658,ExpenditureProgressGap,0.212509,RevisedCost,-0.210458,CurrentExpenditureRatio; ExpenditureProgressGap; Physical Progress
618798,,2026-05-01,0.521065,1,Agency_National Highways Authority of India [NHAI],0.630382,OriginalCost,-0.347683,State_Uttar Pradesh,-0.309033,ExpenditureProgressGap,0.112659,NoProgress,-0.101454,Agency_National Highways Authority of India [NHAI]; ExpenditureProgressGap; HasRevisedDoc
617345,,2026-04-01,0.452217,1,HasRevisedDoc,-0.43701,ProgressScheduleGap,0.287914,State_West Bengal,0.191853,Agency_National Highways Authority of India [NHAI],-0.178641,RevisedCost,0.146147,ProgressScheduleGap; State_West Bengal; RevisedCost
617836,,2026-05-01,0.359716,0,Agency_National Highways Authority of India [NHAI],-0.423562,ProgressVelocity,0.362398,ExpenditureProgressGap,-0.198288,Agency_Ministry of Petroleum & Natural Gas,-0.120038,RobustCurrentGap,0.116392,ProgressVelocity; RobustCurrentGap; RobustCurrentExpenditurePct
617256,,2026-04-01,0.736473,1,Agency_Steel Authority of India Limited [SAIL],0.595249,ExpenditureProgressGap,0.278781,Agency_National Highways Authority of India [NHAI],-0.255813,Physical Progress,0.216625,CurrentExpenditureRatio,0.194053,Agency_Steel Authority of India Limited [SAIL]; ExpenditureProgressGap; Physical Progress
